StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,TotalPopulation,TotalPop18plus,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE.DRINKING,HIGH.BLOOD.PRESSURE,BPMED_CrudePrev,CANCER..EXCLUDING.SKIN.CANCER.,ASTHMA,CORONARY.HEART.DISEASE,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DEPRESSION,DIABETES,GENERAL.HEALTH,HIGH.CHOLESTEROL,LPA_CrudePrev,MAMMOUSE_CrudePrev,POOR.MENTAL.HEALTH,OBESITY,POOR.PHYSICAL.HEALTH,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,HEARING_CrudePrev,VISION_CrudePrev,COGNITION_CrudePrev,"MOBILITY_CrudePrev	",SELFCARE_CrudePrev,INDEPLIVE_CrudePrev,DISABILITY_CrudePrev,Geolocation
LA,Louisiana,Assumption,22007,22007050600,3976,3107,13,33,17,42,81,8,11,9,79,84,63,12,23,51,29,16,28,41,36,74,22,41,18,37,5,22,10,8,22,21,6,13,44,POINT (-91.0288244 29.7389613)
LA,Louisiana,Avoyelles,22009,22009030100,2290,1807,9,34,19,44,81,10,10,9,80,86,67,11,21,60,29,14,22,41,31,75,20,41,16,36,5,14,10,6,18,18,5,10,38,POINT (-91.9221625 31.1244335)
LA,Louisiana,Avoyelles,22009,22009030200,2807,2208,10,35,18,44,81,10,11,10,80,85,65,11,21,57,30,15,24,41,33,74,20,41,17,35,5,17,11,7,20,20,6,11,41,POINT (-92.1130414 31.2563649)
LA,Louisiana,Avoyelles,22009,22009030300,3855,2906,12,34,18,42,79,8,12,9,79,84,63,12,25,51,31,16,28,39,37,73,23,45,19,39,5,20,10,8,23,22,7,13,44,POINT (-92.1383044 31.1456764)
LA,Louisiana,Avoyelles,22009,22009030401,3881,2863,11,38,15,50,82,8,12,11,82,84,63,13,24,49,30,19,31,41,39,73,23,48,20,42,7,27,11,10,23,26,9,15,46,POINT (-92.078335 31.141841)
LA,Louisiana,Avoyelles,22009,22009030402,2863,2254,13,34,15,51,80,7,12,10,81,81,64,12,23,47,27,19,32,39,39,76,23,48,19,43,7,32,10,11,24,25,9,15,47,POINT (-92.0511211 31.114717)
LA,Louisiana,Avoyelles,22009,22009030501,3650,2777,10,33,18,42,79,9,11,9,79,86,65,10,21,57,30,14,24,39,32,75,21,42,17,37,5,22,9,7,20,19,5,11,40,POINT (-92.1443295 31.0531053)
LA,Louisiana,Avoyelles,22009,22009030502,3395,2572,11,39,14,52,83,9,12,11,83,87,66,13,23,50,28,20,31,41,39,75,22,47,20,41,7,22,11,10,22,27,9,15,47,POINT (-92.0599321 31.0615606)
LA,Louisiana,Avoyelles,22009,22009030600,4509,3466,14,39,13,55,84,8,13,12,83,84,61,15,27,43,28,22,38,42,45,75,24,50,23,43,8,38,12,14,26,30,11,18,52,POINT (-92.180279 30.9225423)
LA,Louisiana,Avoyelles,22009,22009030701,4152,3567,20,27,18,45,75,5,10,8,76,80,59,10,26,43,25,17,32,38,40,74,21,46,19,43,5,27,9,10,24,21,7,13,45,POINT (-92.0826445 30.9540613)
